Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),condition,suitable,meal_type,food_group,diet_preference,portion_basis
Cracked wheat and green gram dal premix (Dalia moong dal premix),362.16,64.75,15.89,5.11,0.63,11.66,3.25,49.03,4.28,7.439999999999999,34.725,Gluten_Sensitivity,0,dinner,protein,veg,per_100g
Rice flakes and roasted channa ,333.4,71.94,10.57,2.94,1.31,8.84,205.51,17.23,4.51,3.415,20.365,Gluten_Sensitivity,0,lunch,cereal,veg,per_100g
Spinach soup in milk ,56.72,3.98,2.89,3.2,3.34,0.79,31.16,106.1,1.08,27.455,77.36500000000001,Gluten_Sensitivity,1,lunch,vegetable,veg,per_100g
Vegetable soup,55.21,7.6,2.22,1.55,1.61,3.01,170.68,18.1,0.63,27.455,77.36500000000001,Gluten_Sensitivity,1,lunch,vegetable,veg,per_100g
Mashed banana with milk,95.43,14.62,2.51,2.99,11.35,0.71,16.99,78.64,0.23,3.62,13.85,Gluten_Sensitivity,1,beverage,beverage,veg,per_100g
Poha with curd (Poha aur dahi),173.32,26.72,6.01,4.65,5.46,1.09,325.07,140.9,1.61,3.415,20.365,Gluten_Sensitivity,1,snack,cereal,veg,per_100g
Potato with curd,73.18,12.01,3.19,1.33,3.3,1.02,190.9,85.41,0.38,3.73,18.075000000000003,Gluten_Sensitivity,1,snack,dairy,veg,per_100g
Sweet wheat porridge (Sweet dalia),140.66,23.77,5.11,2.79,12.23,2.37,24.63,99.18,1.98,3.415,20.365,Gluten_Sensitivity,1,snack,cereal,veg,per_100g
Vegetable khichdi/khichri,143.17,19.57,5.61,4.53,3.71,2.45,193.55,100.54,1.09,27.455,77.36500000000001,Gluten_Sensitivity,1,snack,vegetable,veg,per_100g
Moong dal mixture,158.84,33.93,4.62,1.0,24.68,1.9,29.6,70.53,1.25,3.415,20.365,Gluten_Sensitivity,0,snack,cereal,veg,per_100g
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),167.45,22.35,7.56,5.52,3.79,3.74,224.95,123.04,2.17,3.415,20.365,Gluten_Sensitivity,1,snack,cereal,veg,per_100g
Stewed apple,91.93,22.49,0.17,0.37,20.45,1.48,1.53,9.25,0.18,7.470000000000001,20.145,Gluten_Sensitivity,1,lunch,fruit,veg,per_100g
Lemon squash (Nimbu ka squash),184.56,48.88,0.15,0.06,48.88,0.0,15.01,9.85,0.18,3.415,20.365,Gluten_Sensitivity,0,lunch,cereal,veg,per_100g
Orange squash (Santre ka squash),193.26,50.88,0.22,0.04,50.56,0.4,14.85,10.62,0.34,7.470000000000001,20.145,Gluten_Sensitivity,0,lunch,fruit,veg,per_100g
Lichi squash,198.33,51.96,0.3,0.08,51.31,0.41,14.56,6.39,0.34,3.415,20.365,Gluten_Sensitivity,0,lunch,cereal,veg,per_100g
Mango squash (Aam ka squash),194.66,50.96,0.17,0.17,50.84,0.58,14.81,9.47,0.25,7.470000000000001,20.145,Gluten_Sensitivity,0,lunch,fruit,veg,per_100g
Pineapple squash (Ananas ka squash),195.02,51.34,0.16,0.05,51.08,1.06,14.84,7.96,0.18,7.470000000000001,20.145,Gluten_Sensitivity,0,lunch,fruit,veg,per_100g
Lemon and ginger squash (Nimbu aur adrak ka squash),170.34,44.06,0.54,0.21,42.53,1.07,16.19,11.18,0.52,3.415,20.365,Gluten_Sensitivity,0,lunch,cereal,veg,per_100g
Apple jam (Seb ka murabba),188.79,48.56,0.14,0.32,46.76,1.29,2.71,10.84,0.21,7.470000000000001,20.145,Gluten_Sensitivity,0,lunch,fruit,veg,per_100g
Plum jam (Aloo bukhara jam),178.89,46.2,0.31,0.19,45.25,1.0,2.67,7.5,0.2,3.415,20.365,Gluten_Sensitivity,0,lunch,cereal,veg,per_100g
Pineapple jam ,149.18,38.27,0.32,0.15,37.44,2.2,2.45,10.47,0.24,7.470000000000001,20.145,Gluten_Sensitivity,0,lunch,fruit,veg,per_100g
Guava jelly (Amrood ki jelly),115.74,28.18,1.11,0.25,27.38,6.61,3.36,16.55,0.29,3.415,20.365,Gluten_Sensitivity,1,lunch,cereal,veg,per_100g
Orange marmalade (Santray ka murabba),104.17,25.94,0.66,0.13,25.09,1.97,2.31,17.59,0.63,7.470000000000001,20.145,Gluten_Sensitivity,1,lunch,fruit,veg,per_100g
Carrot murabba (Gajar ka murabba),175.24,45.6,0.32,0.16,44.83,1.39,19.53,15.86,0.28,27.455,77.36500000000001,Gluten_Sensitivity,0,lunch,vegetable,veg,per_100g
Gooseberry marmalade (Amla murabba),123.16,32.34,0.14,0.03,28.61,0.0,216.89,16.4,0.38,3.415,20.365,Gluten_Sensitivity,0,lunch,cereal,veg,per_100g
Ginger candy (Adrak ki candy),195.71,50.38,0.69,0.27,47.99,1.67,5.4,10.43,0.68,3.415,20.365,Gluten_Sensitivity,0,lunch,cereal,veg,per_100g
Mango pickle (Aam ka achaar),192.12,8.11,1.6,17.89,1.79,3.68,3429.94,48.97,1.44,7.470000000000001,20.145,Gluten_Sensitivity,1,lunch,fruit,veg,per_100g
Mixed vegetable pickle (Sabziyoon ka achaar),211.2,7.48,1.9,19.68,2.77,2.76,2488.32,42.81,2.12,27.455,77.36500000000001,Gluten_Sensitivity,1,lunch,vegetable,veg,per_100g
Sweet lemon pickle (Neembu ka meetha achaar),69.54,16.87,1.22,0.21,14.63,2.13,6415.9,42.57,1.02,3.415,20.365,Gluten_Sensitivity,1,lunch,cereal,veg,per_100g
Plum chutney (Aloo bukhara ki chutney),177.11,44.95,0.47,0.29,43.9,1.37,216.81,12.38,0.34,3.415,20.365,Gluten_Sensitivity,0,lunch,cereal,veg,per_100g
Raw mango chutney (Kachhe aam/Kairi ki chutney),193.13,49.94,0.51,0.16,45.22,2.17,480.68,25.92,0.48,7.470000000000001,20.145,Gluten_Sensitivity,0,lunch,fruit,veg,per_100g
Tomato sauce,34.33,7.23,0.81,0.27,5.69,1.79,174.79,13.0,0.31,3.415,20.365,Gluten_Sensitivity,1,lunch,cereal,veg,per_100g
Tomato puree,20.62,3.68,0.75,0.25,2.32,1.56,244.99,8.91,0.22,3.415,20.365,Gluten_Sensitivity,1,lunch,cereal,veg,per_100g
Garam masala,254.21,26.2,9.89,10.97,1.79,35.56,58.33,609.77,14.51,3.415,20.365,Gluten_Sensitivity,1,lunch,cereal,veg,per_100g
Chat masala,222.58,23.87,8.19,9.91,0.79,18.62,11873.64,519.5,13.27,3.415,20.365,Gluten_Sensitivity,1,lunch,cereal,veg,per_100g
Kashmiri masala,389.02,23.16,8.26,31.03,2.41,12.12,3106.14,303.49,14.72,8.37,31.82,Gluten_Sensitivity,1,dinner,fat,veg,per_100g
Rasam powder (Rasam masala),267.96,25.19,12.04,11.8,1.91,35.71,38.78,562.15,14.72,3.415,20.365,Gluten_Sensitivity,1,lunch,cereal,veg,per_100g
Sambar powder (Sambar masala),297.46,23.38,12.5,15.58,1.87,34.56,27.66,439.95,12.63,3.415,20.365,Gluten_Sensitivity,1,lunch,cereal,veg,per_100g
Tartare sauce,610.93,2.96,1.44,66.12,2.18,0.42,256.95,21.06,0.56,8.37,31.82,Gluten_Sensitivity,1,dinner,fat,veg,per_100g
Barbeque sauce,121.93,20.46,0.96,4.51,18.88,0.69,504.95,28.61,1.15,3.415,20.365,Gluten_Sensitivity,1,lunch,cereal,veg,per_100g
Bread sauce,111.04,8.69,3.46,7.05,4.63,0.56,88.84,110.72,0.31,3.415,20.365,Gluten_Sensitivity,1,snack,cereal,veg,per_100g
Green chilli sauce,46.06,7.36,1.25,0.27,5.36,1.77,1037.04,9.89,0.64,3.415,20.365,Gluten_Sensitivity,1,lunch,cereal,veg,per_100g
Home made plain noodles,238.78,44.5,6.21,3.56,1.07,1.65,182.07,12.27,1.07,3.415,20.365,Gluten_Sensitivity,0,lunch,cereal,veg,per_100g
Dal moong,43.69,4.92,2.2,1.62,0.13,1.08,117.74,7.69,0.52,3.415,20.365,Gluten_Sensitivity,1,lunch,cereal,veg,per_100g
Cumin seeds baghar (Jeera baghar/tadka),736.81,5.22,3.34,78.77,0.49,6.01,177.58,177.77,5.09,8.37,31.82,Gluten_Sensitivity,1,dinner,fat,veg,per_100g
Onion tomato baghar (Pyaaz tamatar ka tadka),137.52,6.17,1.26,11.98,3.51,2.12,31.33,20.45,0.63,8.37,31.82,Gluten_Sensitivity,1,lunch,fat,veg,per_100g
Mustard seeds baghar (Mustard seed tadka),552.59,10.45,4.73,54.3,1.14,9.74,8.9,182.93,4.14,8.37,31.82,Gluten_Sensitivity,1,dinner,fat,veg,per_100g
Hot cherry sauce,252.74,67.95,0.13,0.07,17.65,0.0,105.81,24.82,0.45,3.415,20.365,Gluten_Sensitivity,0,lunch,cereal,veg,per_100g
Apple jelly (Seb ki jelly),152.13,39.37,0.1,0.21,38.18,0.86,2.14,7.89,0.15,7.470000000000001,20.145,Gluten_Sensitivity,0,lunch,fruit,veg,per_100g
Marmalade (Murabba),143.76,37.64,0.23,0.04,37.29,0.43,2.16,9.84,0.34,3.415,20.365,Gluten_Sensitivity,0,lunch,cereal,veg,per_100g
Plum squash (Aloo bukhara squash),211.17,55.51,0.16,0.1,55.02,0.52,12.71,6.9,0.16,3.415,20.365,Gluten_Sensitivity,0,lunch,cereal,veg,per_100g
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),14.07,2.14,0.85,0.24,1.0,1.07,7559.38,20.05,0.55,3.415,20.365,Gluten_Sensitivity,1,lunch,cereal,veg,per_100g
Brinjal pickle (Baingan ka achaar),139.01,4.23,2.24,12.98,1.07,4.62,3507.59,37.28,2.16,8.37,31.82,Gluten_Sensitivity,1,lunch,fat,veg,per_100g
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),60.88,6.55,1.26,3.24,4.31,2.2,1281.94,15.18,0.54,3.415,20.365,Gluten_Sensitivity,1,lunch,cereal,veg,per_100g
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),91.21,6.32,1.98,6.55,3.04,5.08,2067.33,54.31,2.32,27.455,77.36500000000001,Gluten_Sensitivity,1,lunch,vegetable,veg,per_100g
Tomato chutney (Tamatar ki chutney),176.07,31.85,0.97,6.01,30.02,1.49,823.65,25.34,0.96,3.415,20.365,Gluten_Sensitivity,0,lunch,cereal,veg,per_100g
Tomato ketchup,33.07,6.48,0.91,0.3,4.68,1.9,177.97,15.33,0.36,3.415,20.365,Gluten_Sensitivity,1,lunch,cereal,veg,per_100g
Bengal 5 Spice Blend (Panch Phoran),289.79,20.0,18.26,22.16,1.4,18.4,51.43,523.0,13.37,8.37,31.82,Gluten_Sensitivity,1,lunch,fat,veg,per_100g
Hot tea (Garam Chai),16.14,2.58,0.39,0.53,2.58,0.0,3.12,14.2,0.02,0.5,1.8,GERD,1,beverage,beverage,veg,per_100g
Instant coffee,23.16,3.65,0.64,0.75,3.62,0.0,4.92,20.87,0.06,1.51,5.6,GERD,1,beverage,beverage,veg,per_100g
Espreso coffee,51.54,6.62,1.75,2.14,6.53,0.0,13.98,58.1,0.15,1.51,5.53,GERD,1,beverage,beverage,veg,per_100g
Iced tea,10.34,2.7,0.03,0.01,2.7,0.0,0.23,1.18,0.02,5.95,1.28,GERD,1,beverage,beverage,veg,per_100g
Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,7.49,0.61,79.82,7.08,0.14,45.3,14.05,GERD,1,beverage,beverage,veg,per_100g
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,9.25,0.06,2.63,5.07,0.1,41.44,24.57,GERD,1,beverage,beverage,veg,per_100g
Fruit Punch (with squashes),23.13,5.99,0.07,0.02,5.88,0.17,2.26,3.3,0.06,15.08,9.13,GERD,1,lunch,fruit,veg,per_100g
Lemonade,20.8,5.48,0.03,0.01,5.47,0.02,28.52,1.84,0.05,5.27,2.11,GERD,1,beverage,beverage,veg,per_100g
Lem-o-gin,21.52,5.55,0.08,0.03,5.38,0.13,28.13,2.2,0.09,5.68,2.92,GERD,1,lunch,cereal,veg,per_100g
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,1.46,0.46,189.6,10.84,0.32,3.61,3.14,GERD,1,beverage,beverage,veg,per_100g
Coco pine cooler,32.75,5.72,0.56,1.0,5.52,0.26,23.2,17.81,0.13,10.67,12.64,GERD,1,lunch,cereal,veg,per_100g
Summer cooler,22.43,5.43,0.37,0.04,5.21,0.2,1.57,8.13,0.28,103.5,63.89,GERD,1,lunch,cereal,veg,per_100g
Hot cocoa,90.1,9.23,3.36,4.56,9.01,0.0,24.2,113.66,0.31,3.62,13.79,GERD,1,beverage,beverage,veg,per_100g
Cold coffee with ice cream,67.85,11.24,1.57,2.11,11.18,0.01,13.84,53.29,0.12,2.53,9.49,GERD,1,beverage,beverage,veg,per_100g
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,7.96,0.26,13.61,62.64,0.13,6.84,19.83,GERD,1,beverage,beverage,veg,per_100g
Mango milkshake (Aam milkshake),56.9,7.23,1.73,2.35,7.15,0.26,13.27,62.33,0.15,20.1,53.68,GERD,1,beverage,beverage,veg,per_100g
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,7.6,0.0,14.05,59.92,0.11,10.22,17.45,GERD,1,beverage,beverage,veg,per_100g
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,7.08,0.0,14.63,67.42,0.11,10.82,16.85,GERD,1,beverage,beverage,veg,per_100g
Egg nog,97.14,8.15,4.78,5.11,8.06,0.02,40.65,102.13,0.43,4.82,41.91,GERD,1,snack,cereal,egg,per_100g
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,6.51,0.0,18.31,45.65,0.03,1.0,18.0,GERD,1,beverage,beverage,veg,per_100g
Lassi (salted),18.84,1.86,1.35,0.72,1.84,0.02,65.4,47.78,0.04,1.02,18.07,GERD,1,beverage,beverage,veg,per_100g
Cheese and chilli sandwich ,218.11,27.4,6.8,9.78,2.38,2.08,437.5,113.79,0.99,12.3,16.14,GERD,1,lunch,cereal,veg,per_100g
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.8,1.86,1.88,461.67,110.13,1.44,0.0,14.92,GERD,0,lunch,protein,egg,per_100g
Cucumber sandwich (Kheere ka sandwich),188.6,25.77,4.8,8.0,1.64,2.45,362.64,87.84,1.02,1.53,12.96,GERD,1,snack,cereal,veg,per_100g
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.1,8.2,12.8,4.1,2.33,571.96,199.73,1.04,3.64,12.08,GERD,0,lunch,cereal,veg,per_100g
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,2.85,1.97,549.71,191.2,1.0,3.16,12.18,GERD,0,lunch,cereal,veg,per_100g
Chicken sandwich,253.27,25.38,13.12,11.75,1.6,1.64,389.67,89.56,1.19,0.0,11.1,GERD,0,lunch,protein,non_veg,per_100g
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,2.82,4.03,364.99,94.03,1.58,3.16,22.04,GERD,0,lunch,cereal,veg,per_100g
Rainbow sandwich,272.75,34.26,7.75,12.54,4.05,2.1,612.49,172.04,1.2,1.01,10.38,GERD,0,lunch,cereal,veg,per_100g
Club sandwich ,235.32,18.51,7.31,15.12,2.01,1.81,461.66,115.68,0.86,6.0,17.42,GERD,0,lunch,cereal,veg,per_100g
Vegetarian club sandwich,198.33,19.68,5.45,11.33,2.08,2.06,305.36,122.44,0.77,6.0,17.53,GERD,0,snack,cereal,veg,per_100g
Pin wheel sandwich,311.52,14.0,8.77,24.93,1.45,0.93,374.39,67.75,1.36,0.0,9.04,GERD,0,lunch,cereal,veg,per_100g
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,29.04,5.3,9.12,5.3,3.66,302.88,118.05,1.8,2.7,21.7,GERD,1,lunch,cereal,veg,per_100g
Salami sandwich,255.59,21.54,8.7,15.51,2.0,1.97,662.75,73.54,1.11,1.25,12.65,GERD,0,lunch,cereal,veg,per_100g
Vegetable and mayonnaise sandwich,244.26,23.2,4.47,15.4,2.35,2.35,342.7,79.53,0.91,12.9,17.05,GERD,0,lunch,cereal,veg,per_100g
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,25.9,7.66,10.51,2.09,1.77,423.26,95.71,1.3,1.98,16.33,GERD,0,lunch,cereal,egg,per_100g
Sweet open sandwich,244.25,39.24,4.99,8.15,12.23,2.36,205.27,85.18,1.15,1.65,13.05,GERD,1,lunch,cereal,veg,per_100g
Mushroom and cheese sandwich (toasted),227.42,21.01,7.79,13.01,2.11,2.28,456.57,172.35,0.84,0.0,12.7,GERD,0,lunch,cereal,veg,per_100g
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,21.42,6.82,12.95,2.67,1.78,457.94,169.22,0.82,6.32,14.48,GERD,0,lunch,cereal,veg,per_100g
Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.9,25.17,4.6,5.43,1.33,2.89,262.63,64.15,1.11,14.11,21.01,GERD,1,snack,cereal,veg,per_100g
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,24.05,12.4,11.98,6.4,2.12,268.9,274.1,1.26,4.85,52.13,GERD,0,lunch,protein,veg,per_100g
Chicken sandwich (toasted),167.37,18.82,12.08,5.32,2.13,1.64,327.55,99.99,0.99,12.97,20.71,GERD,1,snack,protein,non_veg,per_100g
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,20.26,11.06,5.61,1.94,2.45,290.07,70.79,1.51,5.5,18.29,GERD,1,snack,cereal,veg,per_100g
Classic club sandwich,200.83,18.49,6.74,11.56,1.86,1.62,277.49,107.73,1.09,16.19,56.9,GERD,0,beverage,beverage,veg,per_100g
Sesame toast,495.19,11.15,1.9,49.38,1.46,1.32,128.78,43.44,0.72,6.92,8.87,GERD,0,dinner,fat,veg,per_100g
Cracked wheat porridge (Meetha daliya),81.57,8.87,2.64,4.08,5.12,0.62,15.89,75.88,0.32,5.03,17.58,GERD,1,lunch,cereal,veg,per_100g
Semolina porridge (Suji/Rava daliya),100.89,12.39,3.75,4.08,7.54,0.7,23.21,108.52,0.36,5.03,22.71,GERD,1,snack,cereal,veg,per_100g
Oatmeal Porridge,72.85,8.77,2.6,3.22,5.2,0.39,16.14,76.83,0.28,5.03,23.98,GERD,1,lunch,cereal,veg,per_100g
Cornflakes with milk,117.33,14.95,3.59,5.12,9.97,0.78,26.55,106.47,0.42,4.82,43.87,GERD,1,snack,dairy,veg,per_100g
Rice flakes (Chiwda/Aval),112.44,15.57,3.62,3.99,7.28,0.37,22.4,103.15,0.62,4.82,19.41,GERD,1,snack,cereal,veg,per_100g
Wheat flakes,112.44,15.57,3.62,3.99,7.28,0.37,22.4,103.15,0.62,4.82,19.41,GERD,1,snack,cereal,veg,per_100g
Murmura (Puffed rice),113.32,15.67,3.62,4.04,7.31,0.28,22.52,103.79,0.63,4.82,16.87,GERD,1,snack,cereal,veg,per_100g
Puffed wheat (Murmure/Moori),113.32,15.67,3.62,4.04,7.31,0.28,22.52,103.79,0.63,4.82,16.87,GERD,1,snack,cereal,veg,per_100g
Boiled egg (Ubla anda),45.35,0.12,4.43,3.04,0.0,0.11,170.94,17.75,0.64,0.0,24.77,GERD,1,snack,protein,egg,per_100g
Fried Egg ,223.67,0.31,11.59,19.62,0.0,0.29,446.96,46.4,1.69,0.0,24.77,GERD,0,lunch,protein,egg,per_100g
Poached egg,123.87,0.37,11.98,8.19,0.05,0.3,1163.07,48.24,1.75,0.0,24.77,GERD,1,snack,protein,egg,per_100g
Scrambled egg (Ande ki bhurji),155.97,1.35,10.29,12.21,1.08,0.24,374.66,64.59,1.42,0.3,25.82,GERD,0,snack,protein,egg,per_100g
Baked egg ,218.85,15.42,11.88,12.65,1.66,1.03,523.29,164.05,1.48,0.0,35.72,GERD,0,lunch,protein,egg,per_100g
Plain omelette/omlet,272.41,0.64,9.66,25.74,0.51,0.12,226.18,48.4,1.35,0.3,50.48,GERD,0,lunch,fat,veg,per_100g
Stuffed egg omelette/omlet,203.51,2.3,8.6,17.77,1.57,0.75,267.19,89.91,0.91,8.29,70.23,GERD,0,lunch,protein,egg,per_100g
Pancake,203.36,20.49,5.68,10.82,3.32,0.65,143.7,79.49,0.69,0.5,5.43,GERD,0,lunch,cereal,veg,per_100g
Keema pancake,176.27,9.56,9.01,11.25,2.2,0.84,125.4,40.96,0.93,4.64,12.23,GERD,0,snack,fat,veg,per_100g
Vegetable pancake,125.18,12.24,3.87,6.57,2.09,2.48,116.69,42.89,0.79,20.63,28.57,GERD,1,snack,vegetable,veg,per_100g
Jam and fruit pancake,162.02,20.73,3.79,7.01,7.85,1.21,93.09,54.06,0.52,6.48,8.42,GERD,1,snack,fruit,veg,per_100g
Khoa and coconut pancake,271.98,27.32,6.98,15.29,16.47,1.65,101.0,157.22,1.12,0.73,19.12,GERD,0,lunch,cereal,veg,per_100g
Brown stock,21.32,0.25,1.95,1.38,0.14,0.09,44.6,17.16,0.3,1.5,6.33,GERD,1,lunch,protein,veg,per_100g
Vegetable stock,17.6,0.96,0.3,1.38,0.44,0.38,49.75,5.08,0.12,7.58,13.92,GERD,1,lunch,vegetable,veg,per_100g
Chicken stock,29.88,0.37,3.69,1.51,0.2,0.1,58.58,3.57,0.18,0.84,10.19,GERD,1,snack,protein,non_veg,per_100g
Clear tomato soup (Tamatar ka soup),80.07,3.45,4.79,12.22,1.44,1.96,5135.74,29.05,1.14,53.16,43.91,GERD,0,snack,fat,veg,per_100g
Lentil soup,31.17,3.94,9.65,11.68,1.06,2.57,10418.84,40.57,2.26,17.9,34.92,GERD,0,snack,protein,veg,per_100g
Chicken consomme (Clear chicken soup),47.94,1.19,11.47,12.02,0.54,1.57,8953.64,35.48,1.82,2.1,11.38,GERD,0,snack,protein,non_veg,per_100g
Cream of tomato soup,97.81,3.93,4.61,13.12,1.81,1.38,4461.22,39.61,0.95,53.23,44.01,GERD,0,snack,fat,veg,per_100g
Cream of green peas soup,127.84,6.75,7.13,14.78,1.61,2.95,4999.7,51.01,1.48,52.28,88.58,GERD,0,snack,fat,veg,per_100g
Cream of spinach soup,100.54,3.45,5.21,13.31,1.13,1.74,4429.81,70.77,2.1,63.34,298.06,GERD,0,snack,vegetable,veg,per_100g
Cream of mixed vegetable soup,59.65,4.93,6.84,9.05,2.1,2.14,5655.45,65.26,1.36,39.02,54.46,GERD,1,snack,vegetable,veg,per_100g
Cream of mushroom soup,117.28,3.74,6.64,15.5,1.93,1.34,5276.06,70.56,1.81,5.79,30.72,GERD,0,snack,fat,veg,per_100g
Chicken sweet corn soup,28.32,1.63,14.48,12.59,0.27,0.47,12205.33,91.5,3.83,2.02,13.45,GERD,0,snack,protein,non_veg,per_100g
Minestrone soup,42.66,3.71,9.3,11.09,1.01,1.92,8875.06,53.55,1.82,19.43,23.24,GERD,0,snack,fat,veg,per_100g
Egg drop soup,26.64,1.1,12.93,13.52,0.6,0.81,12418.84,100.14,3.93,8.51,28.19,GERD,0,snack,protein,egg,per_100g
Chinese cabbage and meat ball soup,484.31,1.43,5.21,56.57,0.37,0.57,4249.41,41.07,1.52,16.72,20.33,GERD,0,dinner,fat,non_veg,per_100g
French onion soup,55.61,4.28,11.41,14.39,1.5,1.01,11202.89,106.22,3.52,5.35,24.85,GERD,0,snack,fat,veg,per_100g
Hot and sour soup,31.51,1.78,3.12,1.31,0.66,0.6,163.26,10.68,0.43,24.59,39.83,GERD,1,snack,protein,veg,per_100g
Talaumein soup,35.63,4.17,10.12,12.78,0.77,1.94,11088.14,42.33,2.23,12.62,48.58,GERD,0,snack,fat,veg,per_100g
Cold cucumber soup (Thanda kheere ka soup),48.03,4.58,2.99,1.99,3.34,0.88,121.32,99.79,0.32,5.05,27.42,GERD,1,lunch,cereal,veg,per_100g
Cold summer garden soup,49.19,2.65,8.57,14.08,0.46,1.86,9919.62,43.93,2.13,16.3,43.26,GERD,0,snack,fat,veg,per_100g
Chapati/Roti,202.31,35.65,5.88,3.56,1.0,6.31,1.16,17.22,2.28,0.0,5.84,GERD,1,lunch,cereal,veg,per_100g
Plain parantha/paratha,298.3,30.69,5.06,16.86,0.86,5.43,62.07,14.81,1.98,0.0,7.79,GERD,0,lunch,cereal,veg,per_100g
Potato parantha/paratha (Aloo ka parantha/paratha),205.04,23.92,3.7,10.22,1.15,4.18,127.2,17.38,1.52,7.98,14.96,GERD,0,lunch,cereal,veg,per_100g
Radish parantha/paratha (Mooli ka parantha/paratha),183.52,20.54,3.3,9.53,1.31,4.32,127.03,23.75,1.39,8.44,20.74,GERD,1,snack,cereal,veg,per_100g
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,18.84,3.73,9.47,1.15,4.68,190.03,22.0,1.59,17.61,26.32,GERD,1,snack,cereal,veg,per_100g
Dal parantha/paratha,268.24,30.03,6.78,13.05,1.43,6.46,156.13,23.89,2.45,1.8,29.02,GERD,0,lunch,cereal,veg,per_100g
Sprouted moong parantha/paratha,228.59,24.31,4.29,12.43,1.47,4.49,153.94,20.33,1.94,2.0,12.52,GERD,0,lunch,cereal,veg,per_100g
Pea parantha/paratha (Matar ka parantha/paratha),190.73,21.51,5.59,8.8,1.29,5.61,109.99,23.49,1.78,17.8,33.64,GERD,1,snack,cereal,veg,per_100g
Keema parantha/paratha,238.09,18.36,9.41,13.91,0.99,3.44,140.62,19.35,1.8,1.8,11.49,GERD,0,lunch,cereal,veg,per_100g
Paneer parantha/paratha,262.97,24.33,7.98,14.62,3.77,4.0,142.52,127.65,1.7,1.69,29.0,GERD,0,lunch,cereal,veg,per_100g
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,21.39,5.54,12.09,1.31,4.39,177.19,33.07,1.85,6.65,50.53,GERD,0,lunch,cereal,veg,per_100g
Poori,737.63,8.22,1.35,77.61,0.23,1.46,31.73,3.98,0.6,0.0,4.68,GERD,0,dinner,fat,veg,per_100g
Spinach poori (Palak poori),684.25,7.76,1.42,71.86,0.24,1.55,35.47,10.02,0.79,3.03,18.9,GERD,0,dinner,vegetable,veg,per_100g
Methi poori,710.02,7.98,1.45,74.6,0.26,1.61,35.37,14.61,0.81,2.91,8.47,GERD,0,dinner,fat,veg,per_100g
Dal stuffed poori,785.16,10.14,2.08,81.69,0.29,1.96,128.18,6.88,0.83,0.42,7.65,GERD,0,dinner,fat,veg,per_100g
Potato stuffed poori (Aloo ki poori),776.74,9.4,1.52,81.35,0.26,1.64,69.86,5.57,0.7,1.39,5.63,GERD,0,dinner,fat,veg,per_100g
Tandoori parantha/paratha,295.37,30.74,5.08,16.51,0.86,5.44,1.14,14.98,1.96,0.0,7.79,GERD,0,lunch,cereal,veg,per_100g
Boiled rice (Uble chawal),117.19,25.72,2.6,0.18,0.22,1.25,1.05,2.7,0.24,0.0,9.75,GERD,1,lunch,cereal,veg,per_100g
Plain pulao,140.21,21.82,2.34,4.62,1.15,1.69,193.76,12.76,0.41,3.42,22.63,GERD,1,lunch,cereal,veg,per_100g
Mixed vegetable pulao,113.05,17.49,2.72,3.33,1.35,2.67,187.92,19.61,0.6,26.15,80.63,GERD,1,lunch,vegetable,veg,per_100g
Mushroom pulao,124.29,19.02,2.52,4.03,1.0,1.88,222.36,13.54,0.39,3.42,26.77,GERD,1,lunch,cereal,veg,per_100g
Sprouted moong pulao,112.97,17.49,2.19,3.61,1.43,1.78,153.16,16.26,0.65,7.53,43.15,GERD,1,lunch,cereal,veg,per_100g
Paneer pulao,581.91,8.76,1.98,59.81,1.11,0.62,72.28,33.09,0.26,3.42,69.28,GERD,0,dinner,fat,veg,per_100g
